Id_solicitud,messolictud,Default_60dias_12meses,tipo_casa,edad,fec_ing_empleo,antg_max_tc,meses_pasivo_12,ingreso,mto_lin_cred_sistemafinanciero,mto_deuda_prom_sistemafinanciero,zon_geo,max_clas_riesg,nivel_educ
1,200901,1,FAMILIAR,35,01/07/1993,0,5,4100,3004.72,0,La Libertad,0,EDUCACION BASICA
2,200901,1,PROPIA,38,01/11/2005,56,12,4646,65644.37,8184.54,Lima,0,PROFESIONAL
3,200901,1,FAMILIAR,24,12/09/2006,0,12,899.79,0,2453,Piura,0,TECNICO
4,200901,1,FAMILIAR,26,01/09/2003,0,12,1000,0,4270.94,Arequipa,0,TECNICO
5,200901,1,FAMILIAR,30,01/05/2004,8,12,1350,3100,2039.04,Junin,1,TECNICO
6,200901,1,FAMILIAR,27,01/03/2005,10,12,2600,11809.23,11461.82,Loreto,2,PROFESIONAL
7,200901,1,PROPIA,34,01/11/2005,0,12,1400,3276.6,4153.11,Callao,0,PROFESIONAL
8,200901,0,FAMILIAR,30,01/05/2007,8,12,4000,3995,3664.5,Callao,1,PROFESIONAL
9,200901,1,FAMILIAR,26,25/05/2007,1,12,1191.94,700,3451.06,Lima,1,SUPERIOR
10,200901,1,FAMILIAR,38,01/05/2002,54,12,904.32,1650,1955.38,Lima,1,TECNICO
11,200901,1,FAMILIAR,46,01/05/1994,0,12,6550,14000,0,Lima,1,TECNICO
12,200901,1,FAMILIAR,42,01/04/2004,14,12,2150,1868.01,725.75,Callao,1,TECNICO
13,200901,1,FAMILIAR,44,01/07/1999,31,12,4240,8811.9,1056.27,Lima,1,PROFESIONAL
14,200901,0,PROPIA,32,20/09/2006,0,12,482.96,1915.74,0,Junin,1,PROFESIONAL
15,200901,0,FAMILIAR,31,01/06/2006,15,1,5500,7773.53,0,Lima,1,PROFESIONAL
16,200901,0,PROPIA,35,01/11/2003,48,12,8200,35214,6980.36,Lima,0,PROFESIONAL
17,200901,1,PROPIA,39,01/01/2000,42,12,2500,1000,2342.51,Lima,1,SUPERIOR
18,200901,0,PROPIA,35,01/02/1996,51,12,3033,1710.68,3007.11,Callao,0,PROFESIONAL
19,200901,0,FAMILIAR,24,01/01/2006,16,12,2800,4600,6195.27,Arequipa,0,SUPERIOR
20,200901,1,ALQUILADA,37,01/01/2004,25,12,14000,0,12140.75,Lima,0,PROFESIONAL
21,200901,1,FAMILIAR,41,01/12/2004,0,1,5000,34405.92,0,Lima,1,PROFESIONAL
22,200901,1,PROPIA,31,21/06/2007,11,12,2549.32,1500,8.06,Arequipa,0,PROFESIONAL
23,200901,1,PROPIA,49,01/08/1976,0,12,4100,1297.41,0,Moquegua,0,PROFESIONAL
24,200901,1,FAMILIAR,28,01/10/2000,0,9,5200,14241.82,16181.46,Lima,1,EDUCACION BASICA
25,200901,1,PROPIA,40,01/01/1998,0,12,2500,0,9760.7,Lima,0,TECNICO
26,200901,1,PROPIA,29,01/01/2004,50,12,2100,34875,55402.85,Tacna,0,PROFESIONAL
27,200901,1,FAMILIAR,37,28/03/2007,0,12,806.09,0,1162.6,Lima,0,TECNICO
28,200901,1,FAMILIAR,29,01/03/2001,0,12,759.27,1099.47,2714.91,La Libertad,0,TECNICO
29,200901,0,PROPIA,59,01/05/2002,9,12,2300,600,5195.7,Lima,0,TECNICO
30,200901,0,FAMILIAR,42,01/07/1994,36,12,2244.27,0,3138.47,Lima,0,TECNICO
31,200901,1,FAMILIAR,41,01/01/2003,27,12,2300,23372.51,940.78,Lima,2,PROFESIONAL
32,200901,1,FAMILIAR,55,20/09/2007,29,11,3110.24,8895.67,117,La Libertad,1,SUPERIOR
33,200901,0,FAMILIAR,39,01/02/1997,101,12,6800,32967.4,126.93,Arequipa,0,PROFESIONAL
34,200901,1,PROPIA,32,01/07/2005,0,9,4000,1000,19898.83,La Libertad,0,TECNICO
35,200901,1,FAMILIAR,33,29/05/2008,15,12,2008.5,0,0,Lima,1,TECNICO
36,200901,1,PROPIA,50,01/01/1992,47,0,3000,0,0,Arequipa,0,PROFESIONAL
37,200901,1,FAMILIAR,42,01/06/1997,0,12,1726.37,0,451.03,Piura,2,TECNICO
38,200901,1,FAMILIAR,31,01/07/2006,15,12,2237.79,7360.33,3685.24,Lima,0,TECNICO
