fechas,IMP,TC,PBI,TENDENCIA
Ene03,709.9147803,3.494772727,73.22236996,1
Feb03,613.4443641,3.4847,71.0794325,2
Mar03,705.7459198,3.480033333,74.34272334,3
Abr03,684.1926518,3.46545,80.66771176,4
May03,626.1795851,3.482,83.2226461,5
Jun03,659.4696078,3.479571429,80.85377472,6
Jul03,726.5432812,3.472,79.20701739,7
Ago03,652.8156287,3.480904762,74.21201409,8
Sep03,695.0654104,3.481590909,73.8678356,9
Oct03,724.8173421,3.478863636,77.59891375,10
Nov03,684.7815941,3.47845,75.57253887,11
Dic03,721.8786019,3.472142857,78.00973266,12
Ene04,692.993258,3.467714286,75.91326716,13
Feb04,656.387817,3.48415,74.09743615,14
Mar04,768.861821,3.465913043,78.63546323,15
Abr04,831.583852,3.4703,84.0944724,16
May04,759.569101,3.488047619,86.5105705,17
Jun04,826.435431,3.477857143,83.28745927,18
Jul04,788.029757,3.4422,82.10675157,19
Ago04,898.364601,3.396285714,77.51462316,20
Sep04,854.09932,3.358409091,77.40259407,21
Oct04,853.765054,3.32205,79.63245541,22
Nov04,905.307763,3.311095238,82.71956378,23
Dic04,969.378205,3.281818182,85.65030234,24
Ene05,917.979251,3.269095238,79.97916134,25
Feb05,806.797617,3.25965,80.13446016,26
Mar05,935.096576,3.260238095,81.39641324,27
Abr05,1056.667343,3.25885,87.0734473,28
May05,993.648561,3.255761905,92.14145539,29
Jun05,956.136976,3.253380952,88.45577328,30
Jul05,1046.724811,3.252789474,87.2766009,31
Ago05,1092.395784,3.257909091,82.98948337,32
Sep05,1022.394293,3.308409091,82.08786679,33
Oct05,1089.705114,3.381904762,84.8027242,34
Nov05,1113.658071,3.377,90.4951179,35
Dic05,1050.404394,3.425285714,91.54592698,36
Ene06,1069.649609,3.394272727,85.65904276,37
Feb06,1027.01887,3.2896,84.62852235,38
Mar06,1283.817608,3.34026087,91.22869313,39
Abr06,1113.051012,3.332277778,91.77800265,40
May06,1253.409968,3.279968182,97.76190665,41
Jun06,1263.142218,3.264647619,95.07290011,42
Jul06,1195.581395,3.2437,92.96160041,43
Ago06,1249.872375,3.235045455,91.55476302,44
Sep06,1225.122354,3.248428571,88.76932988,45
Oct06,1401.400576,3.238045455,92.18220696,46
Nov06,1336.523167,3.222571429,94.78742153,47
Dic06,1425.492943,3.206,99.41835907,48
Ene07,1438.080936,3.193045455,89.94889188,49
Feb07,1365.377096,3.19075,88.67541727,50
Mar07,1404.757017,3.186181818,96.71668079,51
Abr07,1471.968527,3.178684211,96.63584392,52
May07,1485.14616,3.168045455,104.7447533,53
Jun07,1533.249193,3.17065,101.2558607,54
Jul07,1759.123195,3.161409091,102.5347318,55
Ago07,1819.265658,3.158772727,100.1139505,56
Sep07,1710.447906,3.13645,100.2259437,57
Oct07,2034.678287,3.020318182,103.1548292,58
Nov07,1771.315003,3.001619048,104.1106572,59
Dic07,1797.112801,2.9816,111.8824398,60
Ene08,2188.649117,2.951,98.51497733,61
Feb08,1881.609041,2.906285714,100.7098603,62
Mar08,2196.165372,2.811894737,104.1153075,63
Abr08,2309.882118,2.749454545,110.2876644,64
May08,2480.626384,2.805368421,112.1209137,65
Jun08,2762.44353,2.892857143,112.21161,66
Jul08,2760.263528,2.849238095,112.320516,67
Ago08,2469.46162,2.893428571,108.9222926,68
Sep08,2747.770358,2.966772727,110.7250682,69
Oct08,2694.620713,3.077136364,111.6410436,70
Nov08,2036.325163,3.092833333,110.6550012,71
Dic08,1921.364925,3.11475,117.4935235,72
Ene09,1772.252171,3.15175,103.013102,73
Feb09,1540.958842,3.23685,101.0198658,74
Mar09,1570.20896,3.175409091,107.1215468,75
Abr09,1673.794195,3.08575,108.8080829,76
May09,1486.266123,2.9944,114.2246479,77
Jun09,1666.595754,2.991,108.8876271,78
Jul09,1749.415622,3.01315,110.7177412,79
Ago09,1738.205947,2.951238095,109.7955386,80
Sep09,1842.590807,2.910318182,110.865829,81
Oct09,1950.613251,2.8726,112.9559976,82
Nov09,2014.115348,2.885619048,113.6242053,83
Dic09,2005.670556,2.878368421,122.4255772,84
Ene10,2074.570715,2.8573,106.1530256,85
Feb10,1873.813054,2.8548,106.1463228,86
Mar10,2387.425635,2.840304348,115.8337317,87
Abr10,2227.928462,2.84065,117.4845253,88
May10,2088.208512,2.846142857,123.0289026,89
Jun10,2294.014928,2.83865,123.1627057,90
Jul10,2538.805262,2.823421053,121.8944259,91
Ago10,2578.924988,2.80252381,119.6078605,92
Sep10,2697.525481,2.791090909,122.2923172,93
Oct10,2663.382418,2.79205,123.8350936,94
Nov10,2704.530841,2.806142857,123.7610847,95
Dic10,2686.18917,2.81635,132.1020001,96
Ene11,2713.784249,2.787809524,116.607351,97
Feb11,2582.04826,2.77115,114.9492816,98
Mar11,2901.993709,2.779869565,125.0215184,99
Abr11,3134.916423,2.816263158,126.5570446,100
May11,3230.438229,2.775571429,130.0300063,101
Jun11,3241.59809,2.764714286,126.9410545,102
Jul11,3040.922441,2.741894737,129.3929472,103
Ago11,3458.44632,2.74,127.4363493,104
Sep11,3192.661569,2.744318182,128.3109441,105
Oct11,3155.162154,2.7324,129.4181125,106
Nov11,3250.1746,2.705619048,129.6448129,107
Dic11,3249.375556,2.696894737,143.6013583,108
Ene12,3285.080152,2.693318182,122.8225901,109
Feb12,2861.154786,2.684238095,122.9175223,110
Mar12,3378.420809,2.671590909,132.1305584,111
Abr12,3188.973591,2.657666667,130.1582168,112
May12,3554.530094,2.669954545,138.8076698,113
Jun12,3230.362951,2.67115,136.2761885,114
Jul12,3717.357437,2.635761905,138.5505987,115
Ago12,3790.516065,2.61652381,136.186034,116
Sep12,3482.645289,2.6033,136.7510007,117
