Periodo,PBI
T192,48.238636
T292,49.3224413
T392,46.0855522
T492,49.05949855
T193,48.11962921
T293,52.10820046
T393,50.90341843
T493,51.67957416
T194,54.26916141
T294,58.44350561
T394,56.4217109
T494,58.63873177
T195,59.15734021
T295,63.4552954
T395,61.05316715
T495,60.9889029
T196,59.91326127
T296,64.9544162
T396,62.65085685
T496,63.98436422
T197,63.01654603
T297,70.30052926
T397,66.66343363
T497,67.81176937
T198,64.42039889
T298,68.16388641
T398,66.95779478
T498,67.20131945
T199,64.07976877
T299,69.46386838
T399,66.55896748
T499,70.62805423
T100,68.40915822
T200,72.88936685
T300,68.34275546
T400,68.38383487
T101,64.76259053
T201,73.10896926
T301,70.21692372
T401,71.65436535
T102,68.98836242
T202,77.95882547
T302,73.07555017
T402,74.97646163
T103,72.8815086
T203,81.58137753
T303,75.76228902
T403,77.06039509
T104,76.21538861
T204,84.63083379
T304,79.00798935
T404,82.66744025
T105,80.50334466
T205,89.22355838
T305,84.11798342
T405,88.94792275
T106,87.17208581
T206,94.87093617
T306,91.09523082
T406,95.46266222
T107,91.78069961
T207,100.8792223
T307,100.9714094
T407,106.3686687
T108,101.0923818
T208,111.5041168
T308,110.6439503
T408,113.2658244
T109,103.7147626
T209,110.6861408
T309,110.5327036
T409,116.3560053
T110,109.4008489
T210,121.1075901
T310,121.1099323
T410,126.4415173
T111,118.6056711
T211,127.5076764
T311,128.148296
T411,134.0460141
T112,125.8532517
T212,135.0233192
T312,137.1449322
T412,141.4948454
T113,132.1183373
T213,143.4810309
T313,144.3130115
T413,151.1792614
T114,138.6659839
T214,146.2924543
T314,146.9441258
T414,152.7933786
T115,141.3404598
T215,150.9357552
T315,151.5812858
T415,159.8541851
T116,147.6830634
T216,156.5859484
T316,158.57199
T416,164.7373311
T117,151.0730595
T217,160.7255836
T317,163.0237434
T417,168.563612
T118,155.7981689
T218,169.7081012
T318,167.0627984
T418,176.4039776
T119,159.5938353
T219,171.6929667
T319,172.6821657
T419,179.9434107
T120,153.3257683
T220,120.294354
T320,157.4514642
T420,177.514884
T121,160.2726699
T221,170.7825238
T321,176.2635028
T421,183.731948
T122,166.3818095
T222,176.3748982
