ANIO,Mes,Semana,TIPO,CADENA,TIENDA_CLIENTE,TIENDA_NOMBRECRONOGRAMA,MODELO_NOMBRECLIENTE,Modelo Corto,SAP,Vta_Unid,PVP,Venta_Soles,CLIENTE
2024,Enero,W001,PISO,METRO,W101,WONG ATE,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,2,1249,2498,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,REFRIGERADORA RI-359,RI-359,10008999,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,REFRIGERADORA RI-359,RI-359,10008999,4,1099,4396,METRO
2024,Enero,W001,WEB,METRO,S129,METRO ONLINE NON FOOD,"COCINA GAS INDURAMA VIENA 24"" CROMA 4H",Viena,30001101,1,902,902,METRO
2024,Enero,W001,PISO,METRO,H013,METRO INDEPENDENCIA IZAGUIRRE,COCINA PARMA ZAFIRO CROMA,Parma,30000787,1,999,999,METRO
2024,Enero,W001,PISO,METRO,S037,METRO CHICLAYO BALTA,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,2,599,1198,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,5,841,4203,METRO
2024,Enero,W001,PISO,METRO,H001,METRO CHORRILLOS,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,2,1149,2298,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,REFRIGERADORA RI-359,RI-359,10008999,2,1099,2198,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,H001,METRO CHORRILLOS,COCINA PARMA ZAFIRO CROMA,Parma,30000787,1,999,999,METRO
2024,Enero,W001,PISO,METRO,H002,METRO BREÑA,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,1,1249,1249,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,2,849,1698,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,1,559,559,METRO
2024,Enero,W001,PISO,METRO,S001,METRO LA MOLINA,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,2,559,1118,METRO
2024,Enero,W001,PISO,METRO,S044,METRO BARRANCA,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,2,599,1198,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,2,1299,2598,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,2,1166,2333,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,2,599,1198,METRO
2024,Enero,W001,PISO,METRO,H007,METRO UNI INGENIERIA,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,1,849,849,METRO
2024,Enero,W001,PISO,METRO,S011,METRO COMAS BELAUNDE RETABLO,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,5,1139,5695,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,5,548,2739,METRO
2024,Enero,W001,PISO,METRO,S087,METRO CAJAMARCA 1,REFRIGERADORA RI-359,RI-359,10008999,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,S058,METRO ICA QUINDE,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,1,599,599,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,2,599,1198,METRO
2024,Enero,W001,PISO,METRO,W101,WONG ATE,COCINA PARMA ZAFIRO CROMA,Parma,30000787,1,999,999,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,2,599,1198,METRO
2024,Enero,W001,PISO,METRO,H013,METRO INDEPENDENCIA IZAGUIRRE,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,S037,METRO CHICLAYO BALTA,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,1,559,559,METRO
2024,Enero,W001,PISO,METRO,S087,METRO CAJAMARCA 1,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H001,METRO CHORRILLOS,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,2,849,1698,METRO
2024,Enero,W001,PISO,METRO,H005,METRO SAN MIGUEL LA MARINA,REFRIGERADORA RI-359,RI-359,10008999,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H002,METRO BREÑA,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,S055,METRO PACIFICO,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,3,559,1677,METRO
2024,Enero,W001,PISO,METRO,S032,METRO FAUCETT,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,1,1049,1049,METRO
2024,Enero,W001,PISO,METRO,H002,METRO BREÑA,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,S037,METRO CHICLAYO BALTA,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,4,1184,4734,METRO
2024,Enero,W001,PISO,METRO,S062,METRO AREQUIPA CERRO COLORADO,REFRIGERADORA RI-359,RI-359,10008999,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,2,559,1118,METRO
2024,Enero,W001,WEB,METRO,T129,WONG ONLINE NON FOOD,MICROONDAS INDURAMA MWI-20TCRP CROMA20 L,MWI-20TCRP,10011510,1,299,299,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,3,1166,3497,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,1,1249,1249,METRO
