Anhio,Tipo de cambio spot,Tipo de cambio forward
Ene-14,2.808286364,12.22089613
Feb-14,2.81021,12.55682364
Mar-14,2.804719048,12.79147164
Abr-14,2.79121,12.55271768
May-14,2.785861905,12.04480016
Jun-14,2.793490476,11.74664736
Jul-14,2.785142857,11.24694256
Ago-14,2.813738095,10.9138859
Sep14,2.863486364,10.99477529
Oct-14,2.90565,10.76649443
Nov-14,2.924335,10.79479956
Dic-14,2.961090476,12.08130951
Ene-15,3.00535,10.9842857
Feb-15,3.07778,10.22248327
Mar-15,3.091063636,11.64268543
Abr-15,3.119345,12.85733359
May-15,3.150115,13.77692123
Jun-15,3.160509524,12.35355458
Jul-15,3.18072,13.05397448
Ago-15,3.237814286,14.2366881
Sep15,3.217013636,14.34102562
Oct-15,3.247815,12.81824917
Nov-15,3.336709524,13.14755287
Dic-15,3.38237619,13.77094592
Ene-16,3.43708,14.0876815
Feb-16,3.505642857,14.77656174
Mar-16,3.402038095,15.57493452
Abr-16,3.298380952,15.06121573
May-16,3.332363636,15.42151784
Jun-16,3.314414286,15.15217162
Jul-16,3.298342105,13.76771523
Ago-16,3.331859091,13.09024885
Sep16,3.380636364,13.33836875
Oct-16,3.384395238,13.4031377
Nov-16,3.401426316,13.72299583
Dic-16,3.393861905,13.88026038
Ene-17,3.338040909,12.42152336
Feb-17,3.258475,11.50919033
Mar-17,3.26216087,10.83998081
Abr-17,3.2462,10.39831097
May-17,3.271186364,10.05228318
Jun-17,3.26609,9.693297628
Jul-17,3.247963158,9.202345465
Ago-17,3.239786364,8.3711964
Sep17,3.243133333,6.04224908
Oct-17,3.247695455,5.891990798
Nov-17,3.239204762,6.179935482
Dic-17,3.244905263,6.265069824
Ene-18,3.2139,6.074632558
Feb-18,3.2482,6.011484802
Mar-18,3.25122,5.382940617
Abr-18,3.22992,5.116814365
May-18,3.273131818,5.177766075
Jun-18,3.270575,5.22802437
Jul-18,3.276257143,4.967721911
Ago-18,3.2878,5.132100887
Sep18,3.31082,5.185292786
Oct-18,3.333736364,4.930605647
Nov-18,3.374565,4.950909592
Dic-18,3.363105263,4.911767488
Ene-19,3.342590909,4.799287648
Feb-19,3.32056,4.549587692
Mar-19,3.304109524,4.48104049
Abr-19,3.30336,4.778137846
May-19,3.332518182,4.719411027
Jun-19,3.32453,4.734504657
Jul-19,3.28967619,4.649620783
Ago-19,3.377705,4.461682637
Sep19,3.356338095,4.389487304
Oct-19,3.358842857,4.44763482
Nov-19,3.371475,4.520801752
Dic-19,3.35327619,4.598146049
Ene-20,3.326822727,4.720848732
Feb-20,3.390215,4.66942333
Mar-20,3.489390909,5.490972418
Abr-20,3.395435,5.01122112
May-20,3.42021,4.291581284
Jun-20,3.469614286,4.044917851
Jul-20,3.515077273,4.344574277
Ago-20,3.563052381,4.371459602
Sep20,3.553777273,4.185329825
Oct-20,3.595040909,4.159570343
Nov-20,3.606890476,4.100591966
Dic-20,3.601780952,3.909204104
Ene-21,3.62372,3.974681737
Feb-21,3.644465,4.051675155
Mar-21,3.707834783,4.132676791
Abr-21,3.69759,4.303701514
May-21,3.770971429,4.172306997
Jun-21,3.904742857,3.827319759
Jul-21,3.9386,3.62331426
Ago-21,4.083647619,3.918861274
Sep21,4.106263636,5.069861748
Oct-21,4.011415,6.356326754
Nov-21,4.017119048,8.363960589
Dic-21,4.033922727,10.33558884
Ene-22,3.885104762,11.69721678
Feb-22,3.7868,13.80500029
Mar-22,3.735108696,14.67059435
Abr-22,3.737878947,15.45307074
May-22,3.753431818,15.33648929
Jun-22,3.744704762,13.20952091
Jul-22,3.899010526,10.42783214
Ago-22,3.870577273,9.852340439
Sep22,3.895922727,9.303883117
Oct-22,3.977061905,8.41050981
Nov-22,3.873395238,7.81444582
Dic-22,3.826305,6.724346879
