Fechas,YAHOO INC.,COCA COLA CMPNY,SHELL PLC.,,,
21/2/2019,21.22,38.52,66,,,
20/2/2019,20.83,37.71,65.18,,,
19/2/2019,20.92,37.73,65.57,,,
18/2/2019,21.29,37.67,66.58,,,
14/2/2019,21.02,37.42,65.62,,,
13/2/2019,21.18,36.84,66.21,,,
12/2/2019,21.15,37.21,66.96,,,
11/2/2019,21.21,37.56,67.76,,,
10/2/2019,20.9,38.61,67.33,,,
7/2/2019,20.5,38.77,67.47,,,
6/2/2019,20.32,38.91,67.61,,,
5/2/2019,19.85,38.31,68.85,,,
4/2/2019,19.66,38.14,68.82,,,
3/2/2019,19.34,37.35,68.95,,,
31/1/2019,19.76,37.54,70.91,,,
30/1/2019,19.63,37.24,70.52,,,
29/1/2019,20.12,37.5,72.72,,,
28/1/2019,19.7,37.42,72.61,,,
27/1/2019,20.31,37.01,71.59,,,
24/1/2019,20.37,37.05,71.46,,,
23/1/2019,20.44,37.11,70.36,,,
22/1/2019,20.11,37.13,70.25,,,
21/1/2019,19.9,37.13,70.44,,,
17/1/2019,20.02,37.7,70.15,,,
16/1/2019,20.13,37.51,70.05,,,
15/1/2019,20.07,37.32,69.12,,,
14/1/2019,19.52,37.32,69.7,,,
13/1/2019,19.43,36.99,69.66,,,
10/1/2019,19.29,36.91,69.61,,,
9/1/2019,18.99,36.96,69.18,,,
8/1/2019,19.32,37.03,68.47,,,
7/1/2019,19.66,37.04,68.84,,,
6/1/2019,19.4,37.3,68.99,,,
3/1/2019,19.86,37.66,69.38,,,
2/1/2019,19.78,37.6,69,,,
1/1/2019,20.08,37.6,69.23,,,
30/12/2018,19.9,36.25,68.95,,,
27/12/2018,19.5,35.97,68.5,,,
26/12/2018,19.6,36.42,69.53,,,
25/12/2018,19.57,36.42,68.98,,,
23/12/2018,19.65,36.73,68.74,,,
20/12/2018,19.35,36.89,69.29,,,
19/12/2018,19.69,37.05,69.74,,,
18/12/2018,19.6,36.78,69.4,,,
17/12/2018,19.62,37.28,69.76,,,
16/12/2018,19.69,37.5,68.89,,,
13/12/2018,19.64,37.66,68.61,,,
12/12/2018,19.35,37.6,68.37,,,
11/12/2018,19.38,37.64,68.6,,,
10/12/2018,19.52,37.86,67.81,,,
9/12/2018,19.43,37.64,67.56,,,
6/12/2018,19.2,37.71,67.04,,,
5/12/2018,19.2,37.38,67.16,,,
4/12/2018,18.89,37.31,66.97,,,
3/12/2018,18.93,37.15,66.97,,,
2/12/2018,18.55,37.38,66.69,,,
29/11/2018,18.77,37.92,66.97,,,
28/11/2018,18.87,37.97,66.89,,,
27/11/2018,18.91,37.56,66.85,,,
26/11/2018,18.93,37.42,66.32,,,
25/11/2018,18.76,37.36,66.77,,,
22/11/2018,18.57,37.93,66.99,,,
20/11/2018,18.4,37.39,66.19,,,
19/11/2018,18.24,37.25,66.04,,,
18/11/2018,18.36,37.24,66.24,,,
15/11/2018,17.86,36.56,65.03,,,
14/11/2018,17.89,36.43,65.55,,,
13/11/2018,17.83,36.01,66.19,,,
12/11/2018,17.85,36.16,67.9,,,
11/11/2018,17.51,36.08,68.1,,,
8/11/2018,17.26,36.29,68,,,
7/11/2018,17.24,36.36,68.02,,,
6/11/2018,17.39,36.72,68.99,,,
5/11/2018,17.46,37.42,69.53,,,
4/11/2018,17.37,36.77,69.34,,,
1/11/2018,17.11,37.08,69.46,,,
31/10/2018,16.95,37.33,69.99,,,
30/10/2018,16.84,37.18,68.48,,,
25/10/2018,16.79,37.04,67.81,,,
24/10/2018,16.61,37.09,67.73,,,
23/10/2018,16.55,36.88,67.81,,,
22/10/2018,16.67,36.61,67.6,,,
21/10/2018,15.77,37.23,69.07,,,
18/10/2018,15.84,37.4,68.74,,,
17/10/2018,16,37.84,69.24,,,
16/10/2018,16.09,37.74,70.44,,,
15/10/2018,15.92,37.9,69.63,,,
14/10/2018,15.68,38.13,69.15,,,
11/10/2018,15.88,38.23,68.97,,,
10/10/2018,15.92,38.11,69.03,,,
9/10/2018,15.83,38.09,68.84,,,
8/10/2018,15.85,38.56,69.28,,,
7/10/2018,16.03,38.58,69.89,,,
4/10/2018,16.09,38.58,69.87,,,
3/10/2018,16.27,38.33,69.8,,,
2/10/2018,16.21,38.24,69.51,,,
1/10/2018,15.94,38.34,69.92,,,
30/9/2018,15.83,38.38,69.42,,,
27/9/2018,15.98,37.93,69.41,,,
26/9/2018,16.04,38.31,70.56,,,
25/9/2018,15.61,37.76,70.45,,,
24/9/2018,15.68,37.68,71.03,,,
23/9/2018,16,38.12,71.37,,,
20/9/2018,15.74,38.03,71.59,,,
19/9/2018,15.79,38.64,71.42,,,
18/9/2018,15.86,38.52,72.15,,,
17/9/2018,15.91,38.62,72.51,,,
16/9/2018,15.68,38.35,72.65,,,
13/9/2018,15.77,38.12,72.56,,,
12/9/2018,15.6,38.35,73.24,,,
11/9/2018,15.4,37.55,71.73,,,
10/9/2018,15.16,37.77,71.73,,,
9/9/2018,15.11,37.66,70.98,,,
6/9/2018,15.22,37.9,71.59,,,
5/9/2018,15.11,38.15,70.96,,,
4/9/2018,15.09,37.51,69.28,,,
3/9/2018,14.89,37.28,69.54,,,
30/8/2018,14.65,37.4,69.97,,,
29/8/2018,14.67,37.14,69.78,,,
28/8/2018,14.84,37.46,70.05,,,
27/8/2018,14.72,38,70.5,,,
26/8/2018,14.85,38.17,70.16,,,
23/8/2018,14.92,38.47,70.35,,,
22/8/2018,14.87,38.11,70.26,,,
21/8/2018,14.92,38.77,70.49,,,
20/8/2018,14.97,39.26,70.62,,,
19/8/2018,14.96,39.47,70.74,,,
16/8/2018,15.03,39.53,70.71,,,
15/8/2018,14.99,39.55,70.89,,,
14/8/2018,14.76,39.35,70.95,,,
13/8/2018,14.73,39.38,70.84,,,
12/8/2018,15.02,39.3,70.65,,,
9/8/2018,15.15,78.79,70.92,,,
8/8/2018,16.01,79.24,71,,,
7/8/2018,16.17,79.56,70.59,,,
6/8/2018,16.22,79.77,71.13,,,
5/8/2018,16.04,80.64,69.94,,,
2/8/2018,15.97,80.83,69.92,,,
1/8/2018,15.75,79.75,68.31,,,
31/7/2018,15.99,81.01,68.65,,,
30/7/2018,15.84,80.8,68.2,,,
29/7/2018,15.98,81.12,68.47,,,
26/7/2018,16.11,80.01,67.68,,,
25/7/2018,15.8,78.85,67.34,,,
24/7/2018,15.5,77.02,68.06,,,
23/7/2018,15.43,76.66,67.46,,,
22/7/2018,15.76,76.88,68.17,,,
19/7/2018,15.92,77.03,69.31,,,
18/7/2018,15.73,77.55,69.69,,,
17/7/2018,15.7,77.44,69.6,,,
16/7/2018,15.6,77.69,69.32,,,
15/7/2018,15.65,76.48,69.42,,,
12/7/2018,15.74,77.28,68.73,,,
11/7/2018,15.69,76.64,68.04,,,
10/7/2018,15.8,77.46,68.43,,,
9/7/2018,15.82,77.98,67.53,,,
8/7/2018,15.75,77.98,67.34,,,
5/7/2018,15.78,78.15,67.8,,,
4/7/2018,15.85,78.45,68.01,,,
2/7/2018,15.98,79.16,68.46,,,
1/7/2018,15.84,78.92,67.79,,,
28/6/2018,15.83,78.19,67.43,,,
27/6/2018,15.45,76.57,65.9,,,
26/6/2018,15.52,76.34,65.62,,,
25/6/2018,15.35,75.08,65.29,,,
24/6/2018,15.44,74.77,64.79,,,
21/6/2018,15.61,74.94,65.97,,,
20/6/2018,15.52,74.67,65.36,,,
19/6/2018,15.74,75.56,67.76,,,
18/6/2018,15.65,75.74,67.57,,,
17/6/2018,15.49,75.98,66.21,,,
14/6/2018,15.36,76.09,66.52,,,
13/6/2018,15.36,75.74,64.97,,,
12/6/2018,15.34,74.69,64.32,,,
11/6/2018,15.47,75.2,64.23,,,
10/6/2018,15.3,74.66,63.17,,,
7/6/2018,15.65,75.24,63.22,,,
6/6/2018,15.36,74.28,63.32,,,
5/6/2018,15.36,74.61,63.37,,,
4/6/2018,15.1,73.24,61.55,,,
3/6/2018,15.01,73.64,61.34,,,
31/5/2018,14.92,73.09,61.16,,,
30/5/2018,15.24,74.73,62.18,,,
29/5/2018,15.25,75.06,61.8,,,
28/5/2018,15.47,75.46,62.98,,,
24/5/2018,15.36,75.23,62.83,,,
23/5/2018,15.35,75.56,63.02,,,
22/5/2018,15.38,74.55,62.7,,,
21/5/2018,15.29,74.19,63.2,,,
20/5/2018,15.58,74.51,63.27,,,
17/5/2018,15.42,74.05,62.22,,,
16/5/2018,14.87,75.12,62.57,,,
15/5/2018,15.28,76.33,63.72,,,
14/5/2018,15.4,76.57,63.84,,,
13/5/2018,15.5,76.87,64.74,,,
10/5/2018,15.19,77.47,65.95,,,
9/5/2018,15.44,77.41,66.34,,,
8/5/2018,15.3,76.78,66.15,,,
7/5/2018,15.36,77.14,68.17,,,
6/5/2018,15.35,77.28,69.77,,,
3/5/2018,15.15,77,69.17,,,
2/5/2018,15.4,77.44,70.74,,,
1/5/2018,15.67,77.16,70.71,,,
30/4/2018,15.63,76.93,71.71,,,
29/4/2018,15.54,76.32,71.54,,,
26/4/2018,15.57,76.63,71.31,,,
25/4/2018,15.53,75.71,71.5,,,
24/4/2018,15.5,74.93,68.86,,,
23/4/2018,15.43,74.12,68.4,,,
22/4/2018,15.33,73.69,68.28,,,
19/4/2018,15.6,74.13,68.71,,,
18/4/2018,15.4,73.82,68.22,,,
17/4/2018,15.49,74.17,68.85,,,
16/4/2018,15.01,73.95,68.94,,,
15/4/2018,14.79,72.44,67.84,,,
12/4/2018,14.87,71.94,67.24,,,
11/4/2018,15.06,72.22,67.86,,,
10/4/2018,14.88,72.12,67.75,,,
9/4/2018,14.99,72.02,66.95,,,
8/4/2018,15.1,72.87,68.67,,,
4/4/2018,15.07,73.47,68.81,,,
3/4/2018,15.27,73.46,69.06,,,
2/4/2018,15.18,73.76,70.01,,,
1/4/2018,15.46,74.14,71.19,,,
29/3/2018,15.22,74.01,70.13,,,
28/3/2018,15.3,73.81,70.18,,,
27/3/2018,15.32,72.66,70.7,,,
26/3/2018,15.43,71.87,70.74,,,
25/3/2018,15.54,71.9,72.17,,,
22/3/2018,15.39,71.49,70.56,,,
21/3/2018,15.49,71.42,70.28,,,
20/3/2018,15.51,71.12,70.83,,,
19/3/2018,15.41,70.59,71.09,,,
18/3/2018,15.15,70.4,71.99,,,
15/3/2018,15.18,70.16,71.48,,,
14/3/2018,14.89,70.33,71.46,,,
13/3/2018,14.63,70.22,71.23,,,
12/3/2018,14.55,70.25,72.18,,,
11/3/2018,14.49,70.15,71.45,,,
8/3/2018,14.63,69.51,71.49,,,
7/3/2018,14.62,69.27,72.75,,,
6/3/2018,14.62,68.79,70.95,,,
5/3/2018,14.42,68.76,70.88,,,
4/3/2018,14.62,69.23,72.53,,,
1/3/2018,14.72,69.18,72.75,,,
28/2/2018,14.93,69.6,73.62,,,
27/2/2018,14.83,69.86,73.09,,,
26/2/2018,14.9,68.85,73.79,,,
25/2/2018,14.86,68.83,73.34,,,
22/2/2018,14.89,69,73.54,,,
21/2/2018,14.78,69.18,73.71,,,
20/2/2018,14.5,69.25,72.81,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
